experiment,param,param_name,actual_corr,model,PEHE,ATE_Bias
skewness,2.0,skewness,0.4205998776896253,T-Learner (Linear),0.20972452971412434,0.0351005815524672
skewness,2.0,skewness,0.4205998776896253,S-Learner (Linear),0.39553005640589567,0.03408211576929099
skewness,2.0,skewness,0.4205998776896253,Naive ATE,0.39409155610639474,0.005071458293232078
skewness,2.0,skewness,0.46202225255838625,T-Learner (Linear),0.159984514303218,0.007708509027409716
skewness,2.0,skewness,0.46202225255838625,S-Learner (Linear),0.4007109402242226,0.008641428373036941
skewness,2.0,skewness,0.46202225255838625,Naive ATE,0.4006181404240788,0.0005577685834809998
skewness,2.0,skewness,0.43830820377310153,T-Learner (Linear),0.24386561528861073,0.017322551573635048
skewness,2.0,skewness,0.43830820377310153,S-Learner (Linear),0.3893415557217415,0.016901258071831293
skewness,2.0,skewness,0.43830820377310153,Naive ATE,0.3894456361239038,0.01914964773923611
skewness,2.0,skewness,0.3991587442397819,T-Learner (Linear),0.24743981114939015,0.031095861442351325
skewness,2.0,skewness,0.3991587442397819,S-Learner (Linear),0.3893741862206282,0.030288144119794524
skewness,2.0,skewness,0.3991587442397819,Naive ATE,0.38898143654620065,0.02473201885796894
skewness,2.0,skewness,0.48697418709304985,T-Learner (Linear),0.17777388897722018,0.007408024897584631
skewness,2.0,skewness,0.48697418709304985,S-Learner (Linear),0.3994250931637347,0.008780288459550256
skewness,2.0,skewness,0.48697418709304985,Naive ATE,0.40146909519590357,0.041401966305868676
skewness,5.0,skewness,0.8026135149049252,T-Learner (Linear),0.17093810182724098,0.03242292597418839
skewness,5.0,skewness,0.8026135149049252,S-Learner (Linear),0.33993460464031794,0.02990764032994253
skewness,5.0,skewness,0.8026135149049252,Naive ATE,0.35189970545400306,0.0957723040171321
skewness,5.0,skewness,0.8410822040250405,T-Learner (Linear),0.24043730960749907,0.08718495300277251
skewness,5.0,skewness,0.8410822040250405,S-Learner (Linear),0.3699635642294718,0.08807413731941982
skewness,5.0,skewness,0.8410822040250405,Naive ATE,0.3706790887171056,0.0910329699577539
skewness,5.0,skewness,0.8046830000471212,T-Learner (Linear),0.2304139159433193,0.035326514598062464
skewness,5.0,skewness,0.8046830000471212,S-Learner (Linear),0.36155482513699655,0.03539635351789683
skewness,5.0,skewness,0.8046830000471212,Naive ATE,0.3599660138451261,0.010321888687120806
skewness,5.0,skewness,0.8590227944711731,T-Learner (Linear),0.26575439981401683,0.018291930767535436
skewness,5.0,skewness,0.8590227944711731,S-Learner (Linear),0.34096483276813744,0.015435102167952075
skewness,5.0,skewness,0.8590227944711731,Naive ATE,0.34755509922657224,0.06910696197000421
skewness,5.0,skewness,0.8974700127456785,T-Learner (Linear),0.1737235185999275,0.00297307630098953
skewness,5.0,skewness,0.8974700127456785,S-Learner (Linear),0.33687033779925746,0.0024292566640335966
skewness,5.0,skewness,0.8974700127456785,Naive ATE,0.3379392496911023,0.026966892307774493
skewness,5.0,skewness,0.8332836552681272,T-Learner (Linear),0.20409389733263886,0.07736783453705487
skewness,5.0,skewness,0.8332836552681272,S-Learner (Linear),0.36877933336829594,0.07660370218076396
skewness,5.0,skewness,0.8332836552681272,Naive ATE,0.3672771821238161,0.06901057148760104
skewness,5.0,skewness,0.8301898915274506,T-Learner (Linear),0.2340819801631084,0.02157472938540872
skewness,5.0,skewness,0.8301898915274506,S-Learner (Linear),0.34341490932691626,0.021639720231156567
skewness,5.0,skewness,0.8301898915274506,Naive ATE,0.3433099955857625,0.01990554226251795
skewness,5.0,skewness,0.8784850767962574,T-Learner (Linear),0.2407679745245464,0.03537487614347301
skewness,5.0,skewness,0.8784850767962574,S-Learner (Linear),0.34169338013931816,0.03481588801570845
skewness,5.0,skewness,0.8784850767962574,Naive ATE,0.34399944240019437,0.05285259122251651
skewness,5.0,skewness,0.7817589250658474,T-Learner (Linear),0.23096710947076976,0.025536852772684915
skewness,5.0,skewness,0.7817589250658474,S-Learner (Linear),0.32953091919434974,0.024073043367627833
skewness,5.0,skewness,0.7817589250658474,Naive ATE,0.33328655626457904,0.05539687083770195
skewness,5.0,skewness,0.7972760908757208,T-Learner (Linear),0.18102014800175456,0.014564553136983238
skewness,5.0,skewness,0.7972760908757208,S-Learner (Linear),0.3446602062447475,0.013783058581478547
skewness,5.0,skewness,0.7972760908757208,Naive ATE,0.34552935583109057,0.028104282169039485
skewness,10.0,skewness,0.9264458909563874,T-Learner (Linear),0.297592436056307,0.003305539025943216
skewness,10.0,skewness,0.9264458909563874,S-Learner (Linear),0.3438771261940195,0.0020615844409214157
skewness,10.0,skewness,0.9264458909563874,Naive ATE,0.3450011514379504,0.027902808182349248
skewness,10.0,skewness,0.8933755887759416,T-Learner (Linear),0.24251764852119884,0.05236066394957828
skewness,10.0,skewness,0.8933755887759416,S-Learner (Linear),0.34490408579236215,0.051848716909234205
