dgp,n,model,rep,PEHE,ATE_Bias,status
nonlinear,500,T-Learner (Linear),8,0.7025564072506281,0.050085448723601655,success
nonlinear,500,T-Learner (Linear),9,0.8042949113899425,0.16152818010604392,success
nonlinear,500,X-Learner (Linear),0,0.8945438596009863,0.4941706260908209,success
nonlinear,500,X-Learner (Linear),1,0.887380940642573,0.4737811418686521,success
nonlinear,500,X-Learner (Linear),2,0.9423931809161182,0.5389831655568402,success
nonlinear,500,X-Learner (Linear),3,0.8245765929078528,0.48338853220819267,success
nonlinear,500,X-Learner (Linear),4,0.8839133105372798,0.4637036108441255,success
nonlinear,500,X-Learner (Linear),5,0.9298283330647137,0.5212376621685801,success
nonlinear,500,X-Learner (Linear),6,0.9125809236201682,0.4764563197182636,success
nonlinear,500,X-Learner (Linear),7,0.9513757005027018,0.5207851580032581,success
nonlinear,500,X-Learner (Linear),8,0.9042697665832863,0.4695507211226893,success
nonlinear,500,X-Learner (Linear),9,0.9673945244928008,0.5434205347853676,success
nonlinear,500,T-Learner (RF),0,0.5760835720936491,0.052297991632160534,success
nonlinear,500,T-Learner (RF),1,0.5959003306372398,0.019439593664043353,success
nonlinear,500,T-Learner (RF),2,0.6037994854903713,0.04189437156889386,success
nonlinear,500,T-Learner (RF),3,0.6513016272133982,0.11192534725363079,success
nonlinear,500,T-Learner (RF),4,0.6883388198202073,0.05268251541245972,success
nonlinear,500,T-Learner (RF),5,0.6254983832554332,0.15032235301786134,success
nonlinear,500,T-Learner (RF),6,0.5926325580728279,0.07046101654110892,success
nonlinear,500,T-Learner (RF),7,0.5635907612504143,0.013054066851615143,success
nonlinear,500,T-Learner (RF),8,0.5995452418988183,0.17638660287348445,success
nonlinear,500,T-Learner (RF),9,0.6935438701248631,0.03386282337692048,success
nonlinear,500,X-Learner (RF),0,0.8582970067423774,0.5011414296264693,success
nonlinear,500,X-Learner (RF),1,0.8851693778125309,0.4855693720453868,success
nonlinear,500,X-Learner (RF),2,1.0735599961313416,0.5467233905023481,success
nonlinear,500,X-Learner (RF),3,0.8913935549023292,0.47236003833229234,success
nonlinear,500,X-Learner (RF),4,0.828823199598113,0.49564735071936383,success
nonlinear,500,X-Learner (RF),5,0.8930779597409405,0.5052806025981812,success
nonlinear,500,X-Learner (RF),6,0.9053964519168861,0.5136913597414157,success
nonlinear,500,X-Learner (RF),7,0.8702117554610325,0.5025554955475828,success
nonlinear,500,X-Learner (RF),8,0.8963859279214046,0.48558639977840384,success
nonlinear,500,X-Learner (RF),9,0.8582809735510656,0.5199029356632159,success
nonlinear,500,T-Learner (LGBM),0,0.5355903019544522,0.06133480141955605,success
nonlinear,500,T-Learner (LGBM),1,0.5476746695207046,0.09807396388013762,success
nonlinear,500,T-Learner (LGBM),2,0.5871447734832238,0.18618268001214883,success
nonlinear,500,T-Learner (LGBM),3,0.5119390877513681,0.037978719900558566,success
nonlinear,500,T-Learner (LGBM),4,0.6798014239898594,0.025128933921152286,success
nonlinear,500,T-Learner (LGBM),5,0.5973031225212585,0.07604244873533683,success
nonlinear,500,T-Learner (LGBM),6,0.5676006646958864,0.05806270068299241,success
nonlinear,500,T-Learner (LGBM),7,0.5828169446462106,0.098284452333951,success
nonlinear,500,T-Learner (LGBM),8,0.5477896931055962,0.10226308687615315,success
nonlinear,500,T-Learner (LGBM),9,0.5654793824255926,0.098318269806141,success
nonlinear,500,X-Learner (LGBM),0,0.8926886474603951,0.5250296794965312,success
nonlinear,500,X-Learner (LGBM),1,0.8599378596446541,0.5095684849789891,success
nonlinear,500,X-Learner (LGBM),2,0.8037994310893182,0.4582473660658159,success
nonlinear,500,X-Learner (LGBM),3,0.9503841997776228,0.5425750484820359,success
nonlinear,500,X-Learner (LGBM),4,0.9697907168133881,0.554329459478311,success
nonlinear,500,X-Learner (LGBM),5,0.9442223550027068,0.5231487515464565,success
nonlinear,500,X-Learner (LGBM),6,0.9105762972471736,0.51071936455806,success
nonlinear,500,X-Learner (LGBM),7,0.8742872946272615,0.4922091172978238,success
nonlinear,500,X-Learner (LGBM),8,0.90152453592105,0.5324460239059838,success
nonlinear,500,X-Learner (LGBM),9,0.9516937802673737,0.4935798917129664,success
nonlinear,1000,Naive ATE,0,0.870656294513453,0.07340957775456325,success
nonlinear,1000,Naive ATE,1,0.7312040803422358,0.021287910862216985,success
nonlinear,1000,Naive ATE,2,0.9183455488144079,0.2613433473446368,success
nonlinear,1000,Naive ATE,3,0.8224357588661515,0.09879065196469955,success
nonlinear,1000,Naive ATE,4,0.867920208534753,0.09639740097195937,success
